Threads,Schedule,ChunkSize,FractalTime,FilterTime,HistAtomic,HistReduction,TotalTime,Speedup
4,guided,1,37.661,1.55258,0.98832,0.0721994,39.21358,0.9625879605993639
4,guided,2,24.5589,2.32047,1.08169,0.0759703,26.87937,1.4042933297915836
4,guided,4,22.9626,1.39486,1.00414,0.0960469,24.35746,1.54969032074773
4,guided,8,24.5153,2.34636,1.30223,0.11321,26.86166,1.4052191860071195
4,guided,16,21.7353,1.56087,0.999789,0.0850316,23.29617,1.620288656890811
4,guided,32,23.9297,1.66719,0.962745,0.0694747,25.596890000000002,1.4746525847476002
4,guided,64,23.1233,1.47128,0.964697,0.0666009,24.59458,1.5347495261151036
4,guided,128,22.4371,1.46611,0.980743,0.0782631,23.90321,1.5791402075286123
8,static,1,24.5479,1.60784,1.11708,0.0783733,26.155739999999998,1.443144793456427
8,static,2,35.7234,2.45289,1.28552,0.0866244,38.176289999999995,0.9887424891208656
8,static,4,33.5329,2.50047,1.2099,0.127538,36.03337,1.0475434298818014
8,static,8,34.3908,1.95607,0.948925,0.0636663,36.346869999999996,1.0385081301361028
8,static,16,26.4796,2.39383,1.04589,0.133024,28.873430000000003,1.307309869315838
8,static,32,22.7472,1.92216,1.6075,0.285149,24.66936,1.5300972542457527
8,static,64,25.3792,1.75162,1.08828,0.0737768,27.13082,1.391278258452933
8,static,128,27.2767,3.16065,1.06516,0.102263,30.437350000000002,1.2401381854859244
8,dynamic,1,28.1256,2.23705,1.14222,0.111517,30.36265,1.2431892473153696
8,dynamic,2,37.9289,2.33059,0.989699,0.0589991,40.25949,0.9375806797353867
8,dynamic,4,26.4426,2.27237,1.04493,0.0846248,28.714969999999997,1.3145240966645624
8,dynamic,8,33.3015,1.74618,1.22667,0.0946963,35.04768,1.0770048117307622
8,dynamic,16,24.5729,2.12871,1.05597,0.098453,26.701610000000002,1.4136420987348703
8,dynamic,32,23.1374,3.81279,1.47063,0.108648,26.95019,1.4006031126311171
8,dynamic,64,37.577,3.93915,1.28731,0.12489,41.516149999999996,0.9092008772489744
8,dynamic,128,25.1549,1.36301,0.954606,0.0746496,26.51791,1.423434953961304
8,guided,1,35.9755,2.49775,1.66056,0.130747,38.47324999999999,0.9811107717699963
8,guided,2,32.5324,4.64059,1.07542,0.0702029,37.172990000000006,1.0154286754979893
8,guided,4,28.456,1.94753,1.04166,0.124816,30.40353,1.2415176790326652
8,guided,8,45.06,2.57108,1.05294,0.110109,47.631080000000004,0.7924766769932573
8,guided,16,35.258,3.66053,1.44891,0.11819,38.918530000000004,0.9698855532313271
8,guided,32,34.6087,2.71951,1.34483,0.112076,37.32821,1.0112062700033033
8,guided,64,41.2915,1.42876,1.01253,0.0703898,42.720259999999996,0.8835742104565845
8,guided,128,19.7648,1.31186,0.978206,0.0756523,21.07666,1.7909156384360712
16,static,1,27.9923,1.93421,1.04036,0.0677489,29.92651,1.2613071153301874
16,static,2,22.4016,2.10232,1.33899,0.0883877,24.503919999999997,1.540427817263524
16,static,4,20.6039,1.66156,0.97078,0.0582626,22.26546,1.6952948647815946
16,static,8,19.5305,1.30519,0.943549,0.0593778,20.83569,1.8116280286374007
16,static,16,19.7214,1.44903,0.938571,0.0872901,21.17043,1.782983151499521
16,static,32,20.9488,1.74526,1.03993,0.0665103,22.69406,1.6632775272472182
16,static,64,19.8769,1.38278,0.950671,0.0596362,21.25968,1.775498031955326
16,static,128,20.2865,1.38827,0.994506,0.0634695,21.67477,1.7414957575097685
